account_id,year_month_won,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_pre_upgrade,mrr_post_upgrade,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved_last60d
1209905,201610,0,1,Team,n/a,0,1,19,19,0,7,1,4,4,1,2,0,1,0,NULL,0,1,0,0,0,1,1,0,2
1210019,201610,0,1,Professional,n/a,0,5,259.45,259.45,0,7,2,10,4,1,1,1,0,0,NULL,0,0,1,0,0,NULL,NULL,2,8
1210030,201610,0,1,Essential,n/a,0,5,40,40,0,7,1,6,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,3
1210094,201610,0,1,Team,n/a,0,2,50,50,0,1,1,139,4,1,1,0,0,0,NULL,0,0,0,1,0,NULL,NULL,1,75
1210109,201611,0,0,Essential,n/a,0,1,9,9,0,7,1,6,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,1,2
1210123,201610,0,1,Team,n/a,0,7,186.14,186.14,0,6,1,2,4,3,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,4
1210152,201611,0,0,Essential,n/a,0,3,19.79,19.79,0,7,1,6,4,2,1,1,0,0,NULL,0,1,0,0,0,NULL,NULL,0,6
1210217,201611,0,0,Enterprise,n/a,0,NULL,137.42,137.42,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1210368,201611,0,0,Essential,n/a,0,1,45,45,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1210397,201610,0,1,Team,n/a,0,6,150,150,0,10,2,7,4,3,2,0,1,0,NULL,0,1,1,1,0,0,1,2,34
1210468,201609,0,2,Professional,n/a,0,1,177,177,0,7,1,136,4,1,1,1,1,0,NULL,0,1,0,0,0,0,1,1,138
1210504,201610,0,1,Team,n/a,0,3,109.94,109.94,0,0,1,8,5,2,117,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,4
1210560,201611,0,0,Essential,n/a,0,NULL,5.5,5.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1210561,201611,0,0,Essential,n/a,0,NULL,49.47,49.47,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
1210607,201610,0,1,Professional,n/a,0,5,95.52,95.52,0,1,2,36,67,1,1,1,0,0,NULL,0,0,1,1,0,NULL,NULL,0,18
1210627,201611,0,0,Team,n/a,0,1,25,25,0,7,1,23,4,1,1,0,1,0,NULL,0,1,0,1,0,0,1,1,6
1210631,201611,0,0,Essential,n/a,0,1,5.5,5.5,0,7,1,10,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,1,0
1210656,201610,0,1,Team,n/a,0,2,69.8,69.8,0,7,1,2,4,1,2,0,0,0,NULL,0,0,0,0,0,0,1,0,0
1210658,201609,0,2,Essential,n/a,0,2,18,18,0,6,1,2,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,1,1
1210668,201611,0,0,Essential,n/a,0,2,15,15,0,7,1,2,4,1,2,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1210679,201609,0,2,Enterprise,n/a,0,3,290.23,290.23,0,7,1,33,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,6
1210760,201610,0,1,Professional,n/a,0,5,573.11,573.11,0,7,1,2,4,1,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,3,0
1210774,201610,0,1,Team,n/a,0,5,150,150,0,0,1,4,4,1,3,2,0,0,NULL,0,1,0,1,0,NULL,NULL,0,0
1210791,201610,0,1,Team,n/a,0,1,25,25,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,1,0,NULL,NULL,0,0
1210792,201610,0,1,Professional,n/a,0,2,147,147,0,7,1,9,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,5
1210823,201611,0,0,Enterprise,n/a,0,1,137.42,137.42,0,7,1,1,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1210847,201611,0,0,Essential,n/a,0,1,5,5,0,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
1210854,201611,0,0,Essential,n/a,0,1,9,9,0,8,1,16,4,1,1,0,0,0,NULL,0,1,0,1,0,NULL,NULL,1,7
1210893,201611,0,0,Essential,n/a,0,2,18,18,0,7,1,6,4,1,1,0,0,0,NULL,0,0,0,1,0,NULL,NULL,0,7
1211000,201610,0,1,Team,n/a,0,1,25,25,0,7,1,2,4,1,1,0,1,0,NULL,0,0,0,0,0,0,1,0,1
