account_id,year_month_run,year_month_won,year_month_upgraded,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved
847147,201605,201601,201605,1,4,Essential,Team,1,4,82,6,1,4,4,2,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,2
847281,201611,201603,201611,1,8,Team,Professional,1,6,204,11,2,4132,4,2,1,5,0,0,1,0,1,0,0,0,NULL,NULL,0,467
847350,201601,201511,201601,1,2,Regular,Professional,1,6,180,7,1,2,4,1,1,0,0,0,NULL,0,1,0,0,0,1,NULL,0,NULL
847521,201603,201512,201603,1,3,Essential,Team,1,4,89,5,1,0,4,1,1,0,1,0,NULL,1,0,0,0,0,0,1,0,8
847602,201601,201511,201601,1,2,Professional,Enterprise,1,8,528,6,2,23165,5,1,1,5,1,0,1,0,1,1,1,0,1,NULL,3,12036
847708,201606,201511,201606,1,7,Essential,Team,1,1,14,7,1,4,4,1,2,2,1,0,NULL,0,1,0,0,0,0,1,0,13
848193,201602,201511,201602,1,3,Essential,Team,1,1,16,5,1,6,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,205
848206,201608,201511,201608,1,9,Essential,Team,1,1,6,7,1,76,4,1,1,0,0,0,NULL,1,1,0,0,0,0,1,1,728
848221,201607,201512,201607,1,7,Team,Professional,1,1,27,7,1,5,4,1,1,1,1,0,NULL,0,1,0,0,0,1,1,2,0
848320,201601,201511,201601,1,2,Team,Professional,1,2,59,6,1,71,4,2,2,0,0,0,NULL,0,0,0,1,0,NULL,NULL,0,35
848480,201610,201511,201610,1,11,Team,Professional,1,7,238,6,1,166,4,4,74,3,1,0,NULL,0,0,0,0,0,0,1,1,24
848637,201607,201603,201607,1,4,Essential,Team,1,3,61,6,1,41,4,1,3,0,1,0,NULL,0,1,0,0,0,0,1,0,13
848767,201606,201512,201606,1,6,Essential,Professional,2,6,240,5,1,21,4,1,1,1,1,0,NULL,0,1,0,0,0,0,1,0,99
848994,201606,201511,201606,1,7,Team,Professional,1,1,34,7,1,0,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,30
849082,201601,201511,201601,1,2,Essential,Professional,2,1,44,5,1,48,4,1,1,1,0,0,NULL,0,1,0,0,0,0,NULL,1,2
849133,201601,201512,201601,1,1,Professional,Enterprise,1,11,851,8,1,121,4,1,1,1,1,0,NULL,0,1,0,0,0,1,NULL,1,0
849148,201603,201512,201603,1,3,Team,Professional,1,1,93,9,1,15,6,2,2,2,1,0,NULL,0,1,0,0,0,0,1,0,6
849502,201604,201511,201604,1,5,Plus,Enterprise,1,4,224,13,5,5398,41,4,699,7,1,1,1,0,1,1,1,0,1,1,9,27072
849599,201601,201512,201601,1,1,Essential,Team,1,2,32,5,1,9,4,1,2,0,1,0,NULL,0,1,0,0,0,1,NULL,0,0
850000,201607,201512,201607,1,7,Essential,Team,1,2,9,7,1,2,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,0
850497,201608,201512,201608,1,8,Essential,Team,1,6,60,5,1,141,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,194
850583,201603,201512,201603,1,3,Team,Professional,1,1,34,10,4,281,4,1,1,0,0,0,NULL,0,1,0,0,0,0,1,4,0
850634,201601,201512,201601,1,1,Essential,Team,1,3,48,5,1,7,4,5,1,0,0,0,NULL,0,1,0,0,0,NULL,NULL,1,24
850654,201611,201512,201611,1,11,Team,Professional,1,7,238,9,4,259,35,4,1,0,1,0,NULL,0,0,0,0,0,1,1,2,246
850823,201605,201512,201605,1,5,Essential,Team,1,1,52,5,1,0,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,0,0
850984,201603,201512,201603,1,3,Team,Professional,1,3,41,7,1,357,4,2,1,0,0,0,NULL,0,0,0,0,0,0,1,1,50
