ID,ID,Address,Latitude,Longitude,SalePrice,IsAStudio,Beds,Baths,Size,SizeUnit,LotSize,LotSizeUnit,BuiltInYear,YearOfSale,MonthOfSale,DayOfSale,WeekDayOfSale
30,15068039,"1170 Sacramento St APT 9B, San Francisco, CA",37792930,-122412195,3.8,False,2.0,2.0,1961.0,sqft,,,1963.0,2015,12,3,<built-in method weekday of Timestamp object at 0x1099817d0>
31,15068514,"1177 California St APT 702, San Francisco, CA",37791089,-122413658,0.665,False,1.0,1.0,511.0,sqft,,,1978.0,2015,12,18,<built-in method weekday of Timestamp object at 0x109981750>
32,15068551,"1177 California St APT 501, San Francisco, CA",37791089,-122413658,0.9,False,1.0,1.0,884.0,sqft,,,1978.0,2015,12,15,<built-in method weekday of Timestamp object at 0x1099816d0>
33,15068580,"1177 California St APT 423, San Francisco, CA",37791089,-122413658,0.738,True,,1.0,706.0,sqft,,,1978.0,2015,12,29,<built-in method weekday of Timestamp object at 0x109981650>
34,15068592,"1177 California St APT 304, San Francisco, CA",37791089,-122413658,0.79,False,1.0,1.0,645.0,sqft,,,1977.0,2015,12,1,<built-in method weekday of Timestamp object at 0x1099815d0>
35,15068767,"767-771 Pine St, San Francisco, CA",37790971,-122408473,2.49,False,,4.0,4605.0,sqft,1376.0,sqft,1909.0,2015,12,31,<built-in method weekday of Timestamp object at 0x109981550>
36,15068857,"1001 Pine St APT 608, San Francisco, CA",37790348,-122412568,0.535,True,,1.0,450.0,sqft,,,1964.0,2015,12,7,<built-in method weekday of Timestamp object at 0x1099814d0>
37,15068874,"1001 Pine St APT 801, San Francisco, CA",37790348,-122412568,0.65,False,,1.0,650.0,sqft,,,1963.0,2015,12,24,<built-in method weekday of Timestamp object at 0x109981450>
38,15069276,"795 Sutter St # 303, San Francisco, CA",37788404,-122413260,1.2,False,3.0,2.0,1753.0,sqft,,,1913.0,2015,11,15,<built-in method weekday of Timestamp object at 0x1099813d0>
39,15069477,"631 Ofarrell St APT 816, San Francisco, CA",37785240,-122415125,0.485,True,,1.0,480.0,sqft,,,1930.0,2015,12,18,<built-in method weekday of Timestamp object at 0x109981350>
40,15069628,"47-49 Casa Way, San Francisco, CA",37805371,-122439029,3.8,False,3.0,,3905.0,sqft,2748.0,sqft,1939.0,2015,11,25,<built-in method weekday of Timestamp object at 0x1099812d0>
41,15069883,"59 Rico Way, San Francisco, CA",37804909,-122439650,2.55,False,3.0,1.5,1675.0,sqft,2613.0,sqft,1925.0,2015,12,21,<built-in method weekday of Timestamp object at 0x109981250>
42,15070227,"134 Alhambra St, San Francisco, CA",37802318,-122438801,3.08,False,3.0,3.0,2599.0,sqft,3005.0,sqft,1925.0,2016,1,18,<built-in method weekday of Timestamp object at 0x1099811d0>
43,15070235,"180 Alhambra St, San Francisco, CA",37801939,-122439299,3.33,False,,2.0,2864.0,sqft,2286.0,sqft,1925.0,2015,12,7,<built-in method weekday of Timestamp object at 0x109981150>
44,15070255,"146 Avila St, San Francisco, CA",37801998,-122440411,3.02,False,3.0,3.0,2100.0,sqft,2495.0,sqft,1924.0,2015,12,23,<built-in method weekday of Timestamp object at 0x1099810d0>
45,15070544,"1051-1053 Francisco St, San Francisco, CA",37803239,-122422458,9.71,False,5.0,6.0,4650.0,sqft,4726.0,sqft,1953.0,2015,12,1,<built-in method weekday of Timestamp object at 0x109981050>
46,15070728,"3315 Pierce St, San Francisco, CA",37800650,-122439786,2.5,False,3.0,3.5,2255.0,sqft,2500.0,sqft,1925.0,2016,1,6,<built-in method weekday of Timestamp object at 0x109980f50>
47,15070807,"1763-1765 Chestnut St, San Francisco, CA",37801061,-122432273,1.38,False,,3.0,3260.0,sqft,3000.0,sqft,1920.0,2015,12,1,<built-in method weekday of Timestamp object at 0x109980ed0>
48,15071012,"2701 Van Ness Ave APT 207, San Francisco, CA",37800573,-122424849,0.885,False,,1.0,885.0,sqft,,,1929.0,2015,11,30,<built-in method weekday of Timestamp object at 0x109980e50>
49,15071070,"2701 Van Ness Ave APT 702, San Francisco, CA",37800573,-122424849,0.718,False,,1.0,793.0,sqft,,,1929.0,2015,12,2,<built-in method weekday of Timestamp object at 0x109980dd0>
50,15071199,"2374-2376 Greenwich St, San Francisco, CA",37798820,-122438743,6.0,False,4.0,5.0,4178.0,sqft,2495.0,sqft,1938.0,2015,11,23,<built-in method weekday of Timestamp object at 0x109980d50>
51,15071224,"3126 Scott St APT 2, San Francisco, CA",37798778,-122440578,1.35,False,2.0,2.0,1367.0,sqft,,,1970.0,2015,12,7,<built-in method weekday of Timestamp object at 0x109980cd0>
52,15071286,"3038 Pierce St, San Francisco, CA",37798140,-122438775,1.15,False,2.0,2.0,1150.0,sqft,,,1906.0,2015,12,7,<built-in method weekday of Timestamp object at 0x109980c50>
53,15071577,"1374 Union St, San Francisco, CA",37798870,-122421845,3.0,False,3.0,3.5,3105.0,sqft,,,1907.0,2015,12,2,<built-in method weekday of Timestamp object at 0x109980bd0>
54,15072128,"1438 Green St UNIT 5A, San Francisco, CA",37798116,-122422880,1.28,False,2.0,2.0,1206.0,sqft,,,1998.0,2015,12,18,<built-in method weekday of Timestamp object at 0x109980b50>
